time,Total,White,Black,Latino,Asian,Native
0,788,398,243,116,18,13
1,861,474,226,136,22,3
2,922,494,248,152,22,6
3,979,486,305,158,22,8
4,972,483,263,200,24,2
5,1095,552,300,208,24,11
6,1204,592,355,225,23,9
7,1184,603,336,220,19,6
8,1144,561,352,208,15,8
9,1194,594,355,211,25,9
10,1236,628,362,211,23,12
11,1374,683,430,228,24,9
12,1437,697,451,249,24,16
13,1739,849,515,329,35,11
14,1676,836,478,310,33,19
15,1565,819,432,258,33,23
16,1545,831,435,223,28,28
17,1669,839,473,299,24,34
18,1709,889,446,312,36,26
19,1671,838,487,286,44,16
